user,revenue,units,ls_date,tsls,rating,ttp,total_sessions,completed,completed_post,predictedByModel,win_rate,tries,device,tbs,tsad
2818,NULL,NULL,5/26/2015,116153,1,1403,3,0.222222222,0.222222222,0.222222222,0.6,5,iphone,30264,177626
5322,NULL,NULL,NULL,NULL,1,0,1,0.155555556,0.155555556,0.155555556,1,2,iphone,NULL,125484
6627,NULL,NULL,NULL,NULL,0,0,1,0.4,0.4,0.4,0.8,15,ipad,NULL,101717
6607,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.5,6,iphone,NULL,164651
2270,NULL,NULL,5/27/2015,63600,0,430,2,0.222222222,0.222222222,0.222222222,1,2,iphone,28549,92273
1333,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,NULL,150822
4200,NULL,NULL,NULL,NULL,0,0,1,0.288888889,0.288888889,0.288888889,0.875,8,iphone,NULL,96326
4626,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,ipod,NULL,72958
744,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.5,2,ipad,NULL,160691
4379,NULL,NULL,5/26/2015,108203,0,5388,7,0.4,0.4,0.4,0.568181818,44,iphone,13222.33333,187509
1471,NULL,NULL,5/25/2015,180436,0,295,2,0.155555556,0.155555556,0.155555556,1,2,iphone,301,180732
7067,NULL,NULL,5/26/2015,124196,-1,5,2,0.155555556,0.155555556,0.155555556,0.333333333,3,iphone,265,124202
3680,NULL,NULL,5/26/2015,118931,0,4237,11,0.177777778,0.177777778,0.177777778,0.163265306,49,iphone,10484.4,214642
7570,NULL,NULL,5/25/2015,252754,-1,307,3,0.155555556,0.155555556,0.155555556,0.666666667,3,iphone,149,253178
9026,NULL,NULL,5/27/2015,33280,-1,2185,7,0.133333333,0.177777778,0.177777778,0.1875,32,ipad,28827.33333,206445
4759,NULL,NULL,NULL,NULL,0,0,1,0.266666667,0.266666667,0.266666667,0.833333333,6,iphone,NULL,253368
1773,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,0.75,4,ipad,NULL,163732
2935,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,0.2,10,ipad,NULL,134820
3378,NULL,NULL,5/25/2015,183499,0,2404,1,0.4,0.4,0.4,0.6875,16,ipad,NULL,185904
7835,NULL,NULL,5/25/2015,174261,0,800,1,0.222222222,0.222222222,0.222222222,1,3,iphone,NULL,175062
716,NULL,NULL,5/27/2015,39938,0,14540,8,0.555555556,0.555555556,0.574159404,0.338235294,68,ipad,12382.28571,126586
7044,NULL,NULL,5/27/2015,13612,-1,81,2,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,6676,20367
4557,NULL,NULL,5/27/2015,35967,-1,198,2,0.133333333,0.155555556,0.155555556,0.5,2,ipod,200,36301
1129,NULL,NULL,5/25/2015,204172,0,6281,9,0.555555556,0.555555556,0.555555556,0.59375,32,iphone,2860.375,226193
8572,NULL,NULL,5/27/2015,10215,0,1206,2,0.222222222,0.222222222,0.222222222,0.75,4,ipod,343,11474
3733,NULL,NULL,5/27/2015,27937,0,1430,1,0.444444444,0.511111111,0.511111111,0.714285714,14,ipad,NULL,29368
8614,NULL,NULL,NULL,NULL,0,0,1,0.2,0.2,0.2,1,4,iphone,NULL,185042
6866,NULL,NULL,5/27/2015,22790,0,2745,5,0.333333333,0.333333333,0.333333333,0.5625,16,ipad,40385.25,184381
1553,NULL,NULL,5/27/2015,8252,0,3969,6,0.333333333,0.422222222,0.422222222,0.533333333,15,ipad,42085.4,218806
574,NULL,NULL,5/27/2015,24854,0,12399,20,0.666666667,0.666666667,0.662706961,0.367088608,79,iphone,10310.57895,220755
5681,NULL,NULL,5/27/2015,34438,0,3918,10,0.444444444,0.444444444,0.444444444,0.419354839,31,ipad,11793.66667,140586
8421,NULL,NULL,5/27/2015,8379,0,554,2,0.2,0.311111111,0.311111111,0.833333333,6,ipod,2781,11581
8985,NULL,NULL,5/26/2015,129476,0,1453,5,0.355555556,0.355555556,0.355555556,0.666666667,12,iphone,12553.75,179738
8624,NULL,NULL,5/27/2015,25449,0,214,2,0.177777778,0.177777778,0.177777778,0.4,5,iphone,77,25728
6024,NULL,NULL,5/27/2015,15829,0,7850,12,0.666666667,0.688888889,0.500526587,0.827586207,29,iphone,15924.81818,192896
8528,NULL,NULL,5/27/2015,14873,0,1438,7,0.222222222,0.333333333,0.333333333,0.333333333,6,ipad,30359,197581
4968,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,1,2,iphone,NULL,10985
1612,NULL,NULL,5/26/2015,168673,0,804,3,0.222222222,0.222222222,0.222222222,0.6,5,iphone,38450,245702
1649,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.75,4,iphone,NULL,165423
518,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,1,3,iphone,NULL,83417
330,NULL,NULL,5/27/2015,76140,0,2108,6,0.222222222,0.222222222,0.222222222,1,3,iphone,7529.6,113957
5741,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipad,NULL,103772
1374,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,0.5,4,iphone,NULL,169613
8992,NULL,NULL,5/27/2015,38977,0,5539,6,0.444444444,0.444444444,0.448296362,0.394736842,38,iphone,17426.6,126064
4145,NULL,NULL,5/26/2015,95603,1,7873,10,0.444444444,0.444444444,0.444444444,0.6875,16,iphone,13964.33333,222365
705,NULL,NULL,5/27/2015,18372,0,3295,3,0.288888889,0.288888889,0.288888889,0.342857143,35,ipod,52323,124364
1457,NULL,NULL,NULL,NULL,0,0,1,0.266666667,0.266666667,0.266666667,1,5,ipad,NULL,202772
7761,NULL,NULL,5/27/2015,7228,0,4094,10,0.4,0.822222222,0.416058279,0.611111111,18,iphone,2718.666667,31893
6297,NULL,NULL,5/26/2015,109710,1,1233,4,0.266666667,0.266666667,0.266666667,0.384615385,13,ipod,31759.66667,204992
444,NULL,NULL,5/25/2015,179528,0,472,2,0.222222222,0.222222222,0.222222222,0.428571429,7,iphone,574,180142
2238,NULL,NULL,5/27/2015,25024,0,7962,22,0.4,0.4,0.4,0.365384615,52,iphone,8361.952381,200787
6949,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.5,2,ipad,NULL,187923
7091,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,NULL,113263
7524,NULL,NULL,5/27/2015,23919,-1,1301,4,0.177777778,0.177777778,0.177777778,0.083333333,12,iphone,27332,106162
1879,NULL,NULL,5/26/2015,91659,0,2928,4,0.555555556,0.555555556,0.555555556,0.882352941,17,ipad,83039.33333,255203
6792,NULL,NULL,5/27/2015,75656,0,11955,7,0.222222222,0.222222222,0.222222222,0.6,5,ipad,16564.5,178672
9958,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,4533
8216,NULL,NULL,5/27/2015,3031,0,3589,12,0.333333333,0.333333333,0.434830616,0.444444444,27,iphone,3344.363636,40025
5404,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.3,20,ipad,NULL,227362
9916,NULL,NULL,5/27/2015,84658,0,3485,3,0.333333333,0.333333333,0.333333333,0.722222222,18,ipad,3145.5,92548
5340,NULL,NULL,5/27/2015,25373,0,40,3,0.222222222,0.222222222,0.222222222,0.6,5,iphone,100,25470
1166,NULL,NULL,5/26/2015,137131,0,329,2,0.288888889,0.288888889,0.288888889,0.75,12,ipad,20246,157707
9070,NULL,NULL,5/26/2015,165629,-1,9,3,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,29014,170622
1849,NULL,NULL,5/26/2015,139495,-1,113,1,0.133333333,0.222222222,0.222222222,1,1,ipad,NULL,139609
1533,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipod,NULL,3596
3728,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,0.5,2,iphone,NULL,217750
8349,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,NULL,97571
5489,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,1,2,ipad,NULL,5485
3665,NULL,NULL,5/25/2015,217353,-1,589,2,0.155555556,0.155555556,0.155555556,0.5,6,iphone,623,217943
1146,NULL,NULL,5/25/2015,200800,0,111,2,0.222222222,0.222222222,0.222222222,0.666666667,3,ipad,1110,200912
2862,NULL,NULL,5/27/2015,29155,1,17564,19,0.533333333,0.533333333,0.533333333,0.412587413,143,iphone,4809.111111,115682
2754,NULL,NULL,5/27/2015,7695,0,3317,9,0.444444444,0.444444444,0.398447791,0.8,15,iphone,2272.75,26729
7598,NULL,NULL,5/27/2015,5451,0,4947,12,0.333333333,0.444444444,0.405287027,0.7,10,iphone,2689.090909,36106
7006,NULL,NULL,5/26/2015,99660,0,219,2,0.222222222,0.222222222,0.222222222,0.75,4,iphone,1117,99880
5740,NULL,NULL,5/25/2015,192548,-1,276,1,0.133333333,0.222222222,0.222222222,0.333333333,3,iphone,NULL,192825
9719,NULL,NULL,5/27/2015,52560,0,1996,2,0.355555556,0.377777778,0.377777778,0.888888889,9,iphone,2263,54941
5019,NULL,NULL,5/27/2015,3751,-1,2199,4,0.177777778,0.177777778,0.177777778,0.19047619,21,iphone,82878,253528
2537,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.333333333,3,ipad,NULL,47642
1858,NULL,NULL,NULL,NULL,1,0,1,0.222222222,0.222222222,0.222222222,1,3,iphone,NULL,99639
2516,NULL,NULL,NULL,NULL,0,0,1,0.155555556,0.155555556,0.155555556,1,2,ipad,NULL,89324
8652,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,1,3,iphone,NULL,128068
5766,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,NULL,95880
5319,NULL,NULL,5/27/2015,75457,0,16359,10,0.666666667,0.888888889,0.587208614,0.384615385,52,iphone,22704.44444,205215
3834,NULL,NULL,5/25/2015,196542,0,2811,8,0.444444444,0.711111111,0.711111111,0.705882353,17,iphone,3128.714286,219689
7676,NULL,NULL,5/27/2015,72271,0,12118,6,0.555555556,0.555555556,0.467207845,0.625,24,ipad,17179.2,161082
8702,NULL,NULL,5/27/2015,5153,-1,142,3,0.133333333,0.488888889,0.488888889,0.333333333,3,iphone,674.5,6595
6479,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,0.5,2,iphone,NULL,193660
2344,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.5,2,ipad,NULL,222317
7628,NULL,NULL,5/27/2015,33424,0,2362,5,0.333333333,0.333333333,0.333333333,0.545454545,11,iphone,14638.5,92483
7573,NULL,NULL,5/27/2015,1892,-1,172,2,0.155555556,0.155555556,0.155555556,0.333333333,3,iphone,18375,20395
8924,NULL,NULL,5/26/2015,122093,-1,94,2,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,95848,217943
4266,NULL,NULL,5/27/2015,27398,0,5313,19,0.333333333,0.888888889,0.888888889,0.176470588,51,ipad,6082.944444,133705
6853,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.75,4,iphone,NULL,20867
6107,NULL,NULL,5/27/2015,13736,-1,1267,3,0.155555556,0.155555556,0.155555556,0.285714286,7,iphone,13912.5,40550
1723,NULL,NULL,5/26/2015,156997,-1,297,4,0.288888889,0.311111111,0.311111111,0.296296296,27,iphone,885.3333333,159707
7128,NULL,NULL,5/27/2015,10434,-1,628,3,0.155555556,0.311111111,0.311111111,0.5,2,iphone,42811,96200
8456,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,55935
2174,NULL,NULL,5/27/2015,43882,0,1078,2,0.177777778,0.177777778,0.177777778,0.285714286,7,ipad,191848,235732
3666,NULL,NULL,5/27/2015,31964,-1,1393,2,0.177777778,0.177777778,0.177777778,NULL,NULL,ipad,152393,185751
8101,NULL,NULL,NULL,NULL,0,0,1,0.155555556,0.155555556,0.155555556,1,2,ipad,NULL,170141
6065,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipad,NULL,98004
8846,NULL,NULL,NULL,NULL,-1,0,2,NULL,NULL,0.5,NULL,NULL,ipod,69,35067
2402,NULL,NULL,5/25/2015,210851,0,7,2,0.266666667,0.266666667,0.266666667,0.833333333,6,iphone,93180,210859
5537,NULL,NULL,5/26/2015,166667,-1,37,2,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,58,166705
4193,NULL,NULL,5/27/2015,7332,0,6501,7,0.555555556,0.666666667,0.666666667,0.472222222,36,ipad,40738.33333,251954
5226,NULL,NULL,5/27/2015,42842,0,2281,4,0.444444444,0.444444444,0.444444444,0.761904762,21,iphone,60466,224590
7371,NULL,NULL,5/27/2015,44819,-1,312,2,0.155555556,0.155555556,0.155555556,0.6,5,iphone,441,45132
5482,NULL,NULL,5/27/2015,79435,0,8384,1,0.466666667,0.822222222,0.822222222,0.8125,16,ipad,NULL,87820
3019,NULL,NULL,5/27/2015,22470,0,13874,3,0.666666667,0.666666667,0.494432995,0.633333333,30,ipad,19932.5,65604
8644,NULL,NULL,5/27/2015,56723,0,15359,11,0.4,0.4,0.4,0.221153846,104,ipad,19684.1,253854
4510,NULL,NULL,5/27/2015,42431,0,472,2,0.222222222,0.222222222,0.222222222,1,3,iphone,490,42904
7319,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,1,3,iphone,NULL,33847
7553,NULL,NULL,NULL,NULL,0,0,1,0.155555556,0.155555556,0.155555556,1,2,ipad,NULL,254440
4540,NULL,NULL,NULL,NULL,0,0,1,0.311111111,0.311111111,0.311111111,0.888888889,9,ipad,NULL,77567
671,NULL,NULL,5/27/2015,11301,0,2823,21,0.444444444,0.444444444,0.468229876,0.647058824,17,iphone,4221.75,95803
1065,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,1,3,iphone,NULL,27987
1257,NULL,NULL,NULL,NULL,0,0,1,0.333333333,0.333333333,0.333333333,0.777777778,9,ipad,NULL,193415
2125,NULL,NULL,5/27/2015,18686,1,4721,11,0.333333333,0.666666667,0.666666667,0.666666667,15,iphone,14788.2,158005
9863,NULL,NULL,5/27/2015,3548,1,6381,7,0.444444444,0.844444444,0.473044246,0.529411765,34,iphone,12459.16667,80352
6939,NULL,NULL,NULL,NULL,0,0,1,0.2,0.2,0.2,0.571428571,7,iphone,NULL,135180
6473,NULL,NULL,5/27/2015,12133,0,2090,4,0.266666667,0.444444444,0.444444444,0.714285714,7,ipad,2485.333333,19622
4442,NULL,NULL,5/27/2015,25311,0,3845,4,0.4,0.4,0.4,0.666666667,18,iphone,56973.66667,196250
346,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,108998
6366,NULL,NULL,5/26/2015,150318,0,3445,9,0.333333333,0.333333333,0.333333333,0.333333333,27,iphone,10354.125,233278
7104,NULL,NULL,NULL,NULL,0,0,2,0.222222222,0.222222222,0.222222222,1,3,iphone,0,116402
4879,NULL,NULL,5/27/2015,2827,0,943,4,0.222222222,0.222222222,0.222222222,1,3,iphone,80466.66667,244228
5950,NULL,NULL,5/27/2015,16089,0,4395,7,0.333333333,0.333333333,0.385717395,0.6875,16,iphone,13426.66667,96917
2446,NULL,NULL,5/27/2015,26945,1,8985,14,0.622222222,0.711111111,0.550897387,0.641025641,39,iphone,7304.615385,122641
9835,NULL,NULL,5/27/2015,69081,0,894,2,0.222222222,0.222222222,0.222222222,0.75,4,ipad,36876,69976
2742,NULL,NULL,5/27/2015,29036,0,3933,6,0.555555556,0.711111111,0.429871618,0.615384615,26,iphone,23724.2,147790
8705,NULL,NULL,5/27/2015,10400,0,6307,12,0.622222222,0.622222222,0.541303011,0.365384615,52,iphone,14996,177923
1941,NULL,NULL,5/25/2015,214135,0,7275,4,0.511111111,0.511111111,0.511111111,0.620689655,29,iphone,4209.666667,226690
199,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,NULL,NULL,iphone,NULL,68262
818,NULL,NULL,5/27/2015,42362,-1,767,3,0.177777778,0.177777778,0.177777778,0.083333333,12,ipad,8125,58679
1351,NULL,NULL,5/26/2015,114818,0,447,3,0.2,0.2,0.2,0.571428571,7,ipad,51851,130474
803,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,0.333333333,3,ipad,NULL,102413
6431,NULL,NULL,5/27/2015,32400,0,16679,10,0.733333333,0.777777778,0.602843022,0.553571429,56,ipad,18734.33333,207023
3471,NULL,NULL,5/26/2015,130995,0,1017,3,0.266666667,0.266666667,0.266666667,0.428571429,14,iphone,47032,225066
2462,NULL,NULL,5/27/2015,2607,-1,241,2,0.155555556,0.155555556,0.155555556,1,2,ipad,603,2849
9314,NULL,NULL,5/27/2015,46560,0,853,2,0.4,0.4,0.4,0.733333333,15,iphone,4693,47414
2468,NULL,NULL,5/25/2015,205728,0,1661,5,0.377777778,0.377777778,0.377777778,0.794871795,39,ipad,1829.5,207511
9388,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.333333333,3,iphone,NULL,211710
832,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,1,2,iphone,NULL,137422
5774,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipod,NULL,136432
5597,NULL,NULL,5/27/2015,42706,1,933,2,0.177777778,0.177777778,0.177777778,0.285714286,7,ipad,3610,46473
3868,NULL,NULL,5/27/2015,75170,0,954,3,0.222222222,0.4,0.4,0.3,10,iphone,19635,114681
9261,NULL,NULL,5/27/2015,4896,0,9520,15,0.533333333,0.622222222,0.600397084,0.355263158,76,iphone,17920.78571,255890
4524,NULL,NULL,5/27/2015,41686,-1,202,1,0.133333333,0.133333333,0.133333333,0.5,2,iphone,NULL,41889
6362,NULL,NULL,5/27/2015,16059,0,1124,1,0.177777778,0.222222222,0.222222222,0.285714286,7,iphone,NULL,17184
3548,NULL,NULL,5/27/2015,19863,1,16518,27,0.733333333,0.733333333,0.733333333,0.297297297,74,ipad,1166860.962,211825
4931,NULL,NULL,5/27/2015,29675,1,3529,10,0.333333333,0.333333333,0.333333333,0.466666667,15,ipad,10868.88889,117433
8164,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,0.75,4,ipad,NULL,21880
8372,NULL,NULL,5/27/2015,28264,1,564,3,0.2,0.288888889,0.288888889,0.571428571,7,iphone,6015,40644
2880,NULL,NULL,5/27/2015,16685,0,4030,7,0.511111111,0.555555556,0.419601452,0.619047619,21,ipad,14192,103519
7492,NULL,NULL,5/25/2015,176479,0,3296,6,0.444444444,0.444444444,0.444444444,0.545454545,22,ipad,4159,197697
3643,NULL,NULL,NULL,NULL,0,0,1,0.266666667,0.266666667,0.266666667,0.666666667,6,iphone,NULL,126178
4150,NULL,NULL,5/27/2015,38219,0,2069,1,0.222222222,0.422222222,0.422222222,0.3,10,ipad,NULL,40289
1299,NULL,NULL,NULL,NULL,-1,0,1,0.155555556,0.155555556,0.155555556,0.5,2,iphone,NULL,16038
712,NULL,NULL,5/27/2015,38540,0,13595,11,0.666666667,0.711111111,0.580762054,0.384615385,52,ipad,17517.3,214246
3015,NULL,NULL,5/27/2015,21758,1,6272,2,0.622222222,0.666666667,0.463074581,0.685714286,35,iphone,6423,29199
6690,NULL,NULL,5/27/2015,16298,0,5999,13,0.666666667,0.733333333,0.517079139,0.725,40,iphone,19498.16667,250756
121,NULL,NULL,5/26/2015,170883,-1,6,2,0.133333333,0.133333333,0.133333333,1,1,ipod,29,170890
9379,NULL,NULL,NULL,NULL,0,0,1,0.155555556,0.155555556,0.155555556,1,2,ipad,NULL,130109
894,NULL,NULL,NULL,NULL,0,0,1,0.4,0.4,0.4,0.882352941,17,ipod,NULL,164474
1958,NULL,NULL,5/27/2015,52336,0,627,1,0.177777778,0.177777778,0.177777778,0.285714286,7,ipod,NULL,52964
6543,NULL,NULL,5/27/2015,2264,0,5885,11,0.177777778,0.2,0.2,0.269230769,26,ipad,3057.2,31787
9570,NULL,NULL,NULL,NULL,-1,0,1,0.177777778,0.177777778,0.177777778,0.090909091,11,iphone,NULL,151339
6470,NULL,NULL,NULL,NULL,0,0,1,0.155555556,0.155555556,0.155555556,1,2,iphone,NULL,36505
3754,NULL,NULL,5/26/2015,102866,-1,288,4,0.133333333,0.222222222,0.222222222,NULL,NULL,ipad,8219.333333,127534
6691,NULL,NULL,5/25/2015,200076,0,1892,3,0.311111111,0.311111111,0.311111111,0.444444444,27,ipod,17602,235217
629,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipad,NULL,176229
1309,NULL,NULL,5/25/2015,231276,0,684,2,0.444444444,0.444444444,0.444444444,0.916666667,12,ipad,26985,231961
4460,NULL,NULL,5/27/2015,63531,0,520,1,0.222222222,0.222222222,0.222222222,1,2,iphone,NULL,64052
7409,NULL,NULL,NULL,NULL,0,0,1,0.177777778,0.177777778,0.177777778,0.666666667,3,ipad,NULL,191867
8987,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,211333
9270,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,ipad,NULL,188527
4188,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.75,4,iphone,NULL,89397
4445,NULL,NULL,5/26/2015,148893,0,1700,2,0.222222222,0.222222222,0.222222222,0.6,5,iphone,72890,222364
8170,NULL,NULL,5/27/2015,56858,0,1822,4,0.333333333,0.333333333,0.333333333,0.888888889,9,iphone,47984.66667,192707
975,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,NULL,32269
6834,NULL,NULL,5/25/2015,194331,-1,166,3,0.133333333,0.133333333,0.133333333,0.25,4,ipod,12178,194629
505,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,14728
4270,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,NULL,130856
5827,NULL,NULL,5/27/2015,34082,0,2175,3,0.444444444,0.511111111,0.367843459,0.647058824,17,iphone,7615.5,49982
7181,NULL,NULL,5/26/2015,158478,0,5285,2,0.555555556,0.555555556,0.555555556,0.75,20,iphone,82960,244357
827,NULL,NULL,5/25/2015,211554,0,1913,5,0.266666667,0.266666667,0.266666667,0.352941176,17,ipad,41882.5,218650
4676,NULL,NULL,5/27/2015,26510,-1,1016,8,0.177777778,0.177777778,0.177777778,0.166666667,12,ipad,13881.85714,123729
2333,NULL,NULL,5/27/2015,8155,0,517,1,0.177777778,0.177777778,0.177777778,0.5,4,ipad,NULL,8673
4544,NULL,NULL,5/27/2015,17658,0,8190,6,0.666666667,0.777777778,0.488592808,0.558823529,34,iphone,9721.4,67360
5344,NULL,NULL,5/27/2015,78656,0,1665,4,0.288888889,0.288888889,0.288888889,1,8,ipad,28364,163730
5125,NULL,NULL,5/27/2015,29305,-1,320,5,0.155555556,0.155555556,0.155555556,0.666666667,3,ipod,8218,62376
6370,NULL,NULL,5/26/2015,93325,0,0,2,0.155555556,0.155555556,0.155555556,0.4,5,ipad,20,93326
1732,NULL,NULL,5/27/2015,19792,1,25187,13,1,1.111111111,1.111111111,0.326923077,104,ipad,15777.91667,210989
9902,NULL,NULL,5/26/2015,170818,-1,141,2,0.133333333,0.133333333,0.133333333,1,1,iphone,5772,170960
